	utterance	topics
6602	Yeah, I've had it a few times. I like pasta dishes the most.	(food,yes)|(Italian food,yes)|(pasta,yes)
3651	No, not really. I don't have much interest in movies these days.	(movies,no)
9323	Yeah, I'm not really that into action movies.	(movie,yes)|(movie genre,no)
850	Yeah, I like to explore new places.	(travel,yes)
3405	The Los Angeles Lakers.	(sports,yes)|(team,yes)|(Los Angeles Lakers,yes)
4015	Mainly strategy games like Civilization, or role-playing games like The Witcher.	(hobby,yes)|(video games,yes)
4976	Maybe. But honestly, I'm just not that into fitness. It's not really my thing.	(fitness,no)
6189	No, I haven't.	(food,yes)|(Mexican restaurant,yes)
2543	No, I don't drink that either.	(cafe,no)|(tea,no)
4880	No, I haven't.	(travel,yes)|(New York,yes)
12804	I know, right? I can't wait to travel again. What's your favorite travel destination?	(travel,yes)|(travel destination,unknown)
486	No, I don’t really like watching or playing sports. Why are you trying to find common interests?	(sports,no)
5288	Maybe I will. What else are you into?	(interests,yes)
704	Not really, I'm not much of a fitness enthusiast.	(fitness,no)
11806	Yeah, you too.	(pleasant farewell,yes)
2141	Actually, I just finished a really good thriller.	(book,yes)|(thriller,yes)
1787	Oh, I don't really follow baseball.	(sports,yes)|(team,no)
10651	Oh no thanks, I prefer to take the bus.	(transportation,no)|(carpooling,no)
8748	Eh, I'll pass. Burgers are great, but they're not really something I want to talk about.	(food,yes)|(burger joint,no)
7117	No, I'm not really into sports.	(sports,no)
1520	Just hang out at home, watch TV and eat some good food.	(family,yes)|(activities,unknown)
12392	Not really, I went to visit my family last month.	(travel,unknown)|(visiting family,no)
12367	Honestly, it was just some thriller novel from the airport store. Nothing too special.	(book,no)
9475	A little bit.	(cooking,unknown)
7604	I'm not really a foodie, honestly.	(food,no)
9553	I am more into crime dramas now.	(TV shows,yes)|(crime dramas,yes)
9569	Yes, I have a dog.	(pets,yes)|(dog,yes)
9070	Not really, it's not my thing.	(cooking,no)
1355	Not really, with COVID it's been hard to make any plans.	(travel,no)
10117	Actually, no, I haven't.	(movie,no)
9593	No, I have never been out of the country.	(travel,yes)|(abroad,yes)
6458	Hmm that sounds interesting. I love trying out new food.	(restaurant,yes)|(cuisine,yes)|(fusion,yes)
3314	Hmm, I don't really bake that often, but I do enjoy it occasionally.	(food,yes)|(baking,yes)
2432	I actually agree with you. I'm a big fan of the books.	(Books,yes)|(Harry Potter Series,yes)
12883	Definitely Dwight. He's so hilarious.	(TV show,yes)|(TV character,yes)|(Dwight,yes)
12346	Not really, I'm not a big fan of cooking either.	(cooking,no)
9796	Yeah, I enjoy reading.	(reading,yes)
7336	No, I haven't.	(food,yes)|(restaurant,unknown)
1186	Actually, I don't really listen to music much either.	(music,no)
3016	"Yeah, I love series like ""Game of Thrones""."	(TV shows,yes)|(TV series,yes)|(Game of Thrones,yes)
5968	Well, it's hard to decide, but I absolutely adore Zoolander.	(movie,yes)|(movie title,yes)|(Zoolander,yes)
13031	The rumors say it's going to be a foldable iPhone.	(tech,yes)|(iPhone,yes)|(foldable,yes)
1147	I really like playing Grand Theft Auto.	(hobbies,yes)|(video games,yes)|(Grand Theft Auto,yes)
562	Yeah, I really like Tame Impala and Fleet Foxes.	(music,yes)|(band,yes)|(Tame Impala,yes)
1612	To be honest, I'm not really in the mood to chat right now. I think I'm gonna go. Talk to you later.	(unknow,no)
4417	Yeah, I love pastries. Especially croissants.	(food and beverage,yes)|(pastry,yes)|(croissants,yes)
6661	Not really, no. I just do it for fun.	(hobby,yes)|(photo contest,no)
10213	Sorry, I'm not much of a reader.	(books,no)
1291	I prefer the local steakhouse rather than the popular chains.	(food,yes)|(restaurant preference,yes)|(local steakhouse,yes)
7743	No, I don't have any pets right now.	(pets,no)
7361	I'm sorry, I'm not really interested in politics.	(politics,no)
4269	Nah, I think I'm going to head out now. Talk later.	(conversation,no)
8520	Probably Die Hard. It's a classic.	(movies,yes)|(favorite movies,yes)|(Die Hard,yes)
2802	Actually, yeah! I love concerts.	(music,yes)
6469	Eh, I'm more of a sports person. I don't really have time for TV shows.	(TV shows,no)
3561	I work in accounting. It's pretty boring, to be honest.	(work,no)
2842	I don't have anything planned yet, but I'll probably just stay in and relax. I'm really busy with work lately.	(work,no)
4660	Yeah, I've read Angels and Demons and Inferno as well. What about you?	(books,yes)|(Dan Brown books,yes)
1258	Yeah, it's been tough.	(travel,no)
110	No, I haven't watched it yet, but I've heard it's disappointing.	(TV shows,yes)|(Game of Thrones,no)
992	Mostly just hanging out with friends and family. Maybe going to a movie or something.	(family,yes)
3724	I'm not really into movies that much. Do you have any other topics in mind?	(general topic,yes)
9591	Actually, yes! I went to a new sushi place downtown. It was amazing.	(food,yes)|(restaurant,yes)
6171	Mostly just watch TV or hang out with friends.	(fun activities,yes)
3875	We just relaxed in the sun, went swimming, and had a picnic.	(recreation,yes)|(beach activities,yes)
3329	Yes, I went there last weekend.	(food,yes)|(new restaurant,yes)
10296	I've been getting into gardening recently. I find it really therapeutic.	(hobbies,yes)
11877	Just some crime dramas and reality shows. Nothing too exciting.	(TV,no)|(reality shows,no)
7329	I don't really have the time or money for that kind of stuff.	(travel,no)
4454	That sounds challenging. By the way, did you hear about the new tax regulations?	(tax,no)
6728	It was too boring. I didn't do anything much.	(weekend,no)|(boredom,no)
6062	Not really, I prefer watching movies at home.	(movies,no)
6926	Honestly, I'm not really one for working out.	(exercise,no)|(gym,no)
8359	Not really, sorry.	(pets,no)
8411	Just work stuff mostly. I don't really want to talk about it.	(work,no)
8956	"It was called ""The Other Guys"". Have you seen it?"	(movie,yes)|(movie name,yes)|(The Other Guys,yes)
770	I'm not really into spicy food.	(food,no)|(Thai food,no)
8285	Not really, I'm just planning to relax and catch up on some TV shows.	(plan,no)
4267	No, I am not really a pet person.	(pets,no)
12181	No, I haven't. To be honest, I'm not a big fan of that show.	(TV shows,no)|(Game of Thrones,no)
9178	No, I haven't really been exploring much.	(tourism,no)
10492	No, not really interested in that.	(news,no)
8024	No, I find reading books boring.	(books,yes), no)
810	Not much, just been binge-watching some shows.	(TV,yes)
5801	You too!	(farewell,no)
6219	Yes, I love traveling!	(travel,yes)
7509	I'm sorry, I have a lot of work to finish during my lunch break.	(lunch,no)
4578	It's okay. I don't play it often.	(hobby,yes)|(frisbees,unknown)
10577	No problem, it was nice talking to you. See you later!	(conversation end,yes)
2392	Oh yes, I love playing video games.	(video games,yes)
8690	Yes, I have!	(music festival,yes)
8085	Yes, but I was really disappointed with the ending.	(disappointing topics,no)|(book series,yes)|(Game of Thrones,yes)
12201	Hmm, it's really hard to choose. But I've been listening to a lot of Chris Liebing lately.	(music,yes)|(techno artist,yes)|(Chris Liebing,yes)
2656	Oh, why not?	(reading,yes)
2987	Yeah, maybe I will. Thanks for the suggestion.	(podcasts,maybe)
8938	That's frustrating.	(work,yes)
8307	Just some casual games on my phone. I don't really play anything seriously.	(video games,yes)|(mobile games,yes)
6874	No, I’m not really into sports.	(sports,no)
12626	Mostly first-person shooters like Call of Duty or Battlefield.	(video games,yes)|(game genre,yes)
9866	Actually, yeah! Let me tell you this one I heard...	(jokes,yes)
10592	Sorry, I don't really like Chinese food.	(restaurant,no)|(cuisine,no)
7505	To be honest, not really. I don't have much time for it these days.	(TV,no)
8976	I'd rather not talk about that, it's such a depressing topic.	(health,no)|(Covid,no)
13329	Yeah, I loved it!	(movie,yes)|(Tarantino,yes)
3023	No, I haven't heard about it.	(food,yes)|(restaurant,unknown)
145	Which app?	(social media,unknown)
7616	Not much, just trying to stay cool in this heat.	(general,yes)
9216	It was great, I went on a hike with my dog.	(weekend,yes)|(outdoors,yes)|(hike,yes)
3864	Yeah, I really like the Italian place around the corner.	(food,yes)|(Italian food,yes)
843	You too. Bye.	(greetings,yes)
7332	Yeah, those are cool too. It's all a matter of personal preference.	(video games,yes)
13234	Sorry, not interested in politics either.	(politics,no)
7237	No, not really. I haven't had the chance to travel recently.	(travel,unknown)
10469	Nothing really stands out for me, but I'm open to recommendations.	(food,yes)|(Italian cuisine,yes)|(recommendation,yes)
5087	It is hot, very hot.	(weather,unknown)|(hot weather,no)
12385	They're alright, I guess. Nothing special.	(movies,yes)|(action movies,unknown)
5751	Actually, I'm not much of a pet person. My apartment building doesn't allow animals, anyways.	(pets,no)
1266	Definitely.	(politics,no)
13283	Honestly, I just loved walking around and exploring the city.	(travel,yes)|(favorite thing to do,yes)|(walking around,yes)
11313	No, I haven't. But I'm not really interested in going.	(travel,no)|(Mexico,no)
12062	Yes, I love playing soccer.	(hobbies,yes)|(soccer,yes)
1901	Yeah, I have a cute little dog. He's a black Labrador retriever.	(pets,yes)
1303	I guess I like reading well enough. What do you like to read?	(book,unknown)
11781	You too.	(farewell,yes)
5347	I'm not really a big movie person.	(movie,no)
4884	Not really - I just watch whatever's on.	(entertainment,yes)|(TV shows,no)
10504	Not really, I'm not particularly interested in sports.	(sports,no)
9822	Not really. I don't watch a whole lot of movies.	(movie,no)
12425	It was boring, didn't do much.	(weekend,no)
8329	Not really, I try to avoid it as much as I can.	(news,no)
5805	No, I haven't. What's it about?	(TV,yes)|(Netflix show,unknown)
10398	Hmm, sounds good.	(restaurant,yes)|(type of cuisine,yes)
11702	Not much, just trying to plan my vacation.	(vacation,yes)
6228	Sounds good! What's playing?	(movie,yes)|(movie theater,yes)
2792	Not too much, I prefer fiction.	(TV shows,yes)|(documentaries,no)
5234	It's not really my favorite genre, but it's pretty good if you like fantasy shows.	(TV show,yes)|(genre preference,no)|(Game of Thrones,yes)
11822	Not really, I don't read very often.	(books,no)
2380	I don't really like them, to be honest.	(TV show,yes)|(new characters,no)
9095	Honestly, I'm sort of a homebody. I like spending time with my cat and watching old sitcoms.	(cat,yes)
5952	No, I haven't. I'm not really into action movies, to be honest.	(movie,no)|(action movies,no)
423	Yeah, there are some really great ones out there. Also, I love reading. Do you read much?	(hobby,yes)|(reading,yes)
8518	Not really. Everything I've seen recently has been pretty bad.	(movies,no)
2534	I don't really watch or play sports either. Sorry.	(sports,no)
7522	Sure, but make mine non-alcoholic, please. I don't drink.	(beverages,yes)|(alcoholic beverages,no)
5453	Yeah, I love Eleven. She's so badass.	(TV shows,yes)|(favorite character,yes)|(Eleven,yes)
10755	I really love playing music. I've been in a band for a few years now.	(hobby,yes)
5741	It's called 'The Queen's Gambit'. It's really good.	(TV shows,yes)|(new show,yes)|(The Queen's Gambit,yes)
9331	Chinese food is my favorite.	(food,yes)|(food type,yes)|(Chinese food,yes)
11282	Actually, I don't dine out at Italian restaurants often.	(food,yes)|(Italian restaurant,no)
11757	No, I haven't.	(restaurant,unknown)
11807	No, I haven't.	(movie,unknown)|(documentary,unknown)|(oceans,unknown)
8537	Honestly, I try to avoid the news as much as possible. It's all so depressing.	(news,no)
3659	Oh, that's alright. How about movies? Have you seen anything good lately?	(movie,yes), no)
273	Not really, just some chores around the house.	(weekend,no)|(chores,no)
7568	Yes, I am. I really hope he doesn't get angry with me.	(work,yes)|(boss,no)
4455	Actually, I need to go now, but we could talk next time. See you!	(goodbye,yes)
2750	I'm more into Mexican food, especially tacos.	(food,yes)|(cuisine,yes)|(tacos,yes)
2122	Alright, I'll add it to my list. So, have you been to any good restaurants lately?	(restaurant,yes)
3381	Yeah, I did - it was intense.	(sports,yes)|(game,yes)
12795	Yeah, I'm a big bookworm! Any recommendations?	(book,yes)|(book recommendation,yes)
5519	Honestly, smoothies don't really interest me.	(restaurant,yes)|(smoothie,no)
6304	Yeah, I don't get the appeal. But have you heard about those new dating shows with all those crazy twists?	(TV shows,no)|(dating shows,no)
2548	Hmm, that's good. Well, it was nice talking to you. I have to go now.	(farewell,no)
3664	It's about the history of humankind, and how we've evolved to where we are today. It's a fascinating read.	(hobby,yes)|(book review,yes)|(history of humankind, evolution,yes)
851	I went to Japan last year, it was amazing.	(travel,yes)|(Japan,yes)
4386	Pretty boring, to be honest. I've just been working all day.	(work,no)|(daily routine,no)
10661	Mostly business and entrepreneurship courses.	(education,yes)
6104	No, I’m not really into sports.	(sports,no)
9470	Not much.	(video games,no)
1470	No, not really. I do watch some documentaries on Netflix from time to time, though.	(TV shows,yes)|(streaming,unknown)|(Netflix,yes)
11508	Yeah, it's pretty fulfilling to see the things I build come to life.	(work,yes)
5057	Of course! Everyone's been talking about it. I think it's overrated though.	(TV shows,yes)|(Stranger Things,no)
10716	Hmm, sounds interesting. Have you ever tried other Japanese restaurants?	(food,yes)|(Japanese cuisine,yes)
8392	No, I've never been a fan of Italian food.	(food,no)|(Italian food,no)
6791	*The Proposal* with Sandra Bullock and Ryan Reynolds.	(movies,yes)|(movie,yes)|(The Proposal,yes)
7446	Yeah, that sounds good. Anyway, I should probably get back to work now. Talk to you later.	(work,yes)
8889	No, I haven't. Honestly, I'm not really interested in local politics. All the gossip and backstabbing just stresses me out.	(news,no)|(politics,no)
12800	Oh, nice. I'm not a big fan of sushi, though.	(restaurant,yes)|(sushi,no)
1852	Not really. I'm not really into that kind of stuff.	(hobbies,no)
12979	No, I haven't.	(work,yes)|(new company,yes)|(grocery shopping,yes)
3799	No, actually, I haven't had the chance to travel since the pandemic started.	(travel,no)
2532	Actually, I'm not much of a reader.	(books,no)
3539	No, I'm not really into sports either. Sorry.	(sports,no)
409	Sure, I love music!	(music,yes)
3126	Haha, I'm not really into action movies. Did anything interesting happen at work today?	(work,no)
416	I always go for pepperoni and mushrooms, how about you?	(food,yes)
10402	I usually just relax at home and read a book or watch some TV.	(free time,yes)
10578	"Yes, I watched ""Tenet"" recently. It had an interesting concept."	(movie,yes)|(Tenet,yes)
7498	Sorry, I really don't want to talk about politics right now. Can we talk about something else?	(politics,no)
12636	No, I've never been interested in that.	(hobbies,yes)|(sushi-making,no)
6589	It's been a bit busy, but good overall.	(emotion,unknown)
1658	Not really, I'm not much of a swimmer.	(sports,unknown)|(swimming,no)
2780	Yeah, I'm interested in that.	(virtual reality gaming,yes)
12893	I'm really into sports, mostly basketball.	(hobbies,yes)|(sports,yes)|(basketball,yes)
10928	Honestly, no. I hate working out.	(fitness,no)
6278	Honestly, I don't have a favorite one.	(music,yes)|(rock bands,no)
8623	Not a big fan of mafia movies.	(movie,no)|(movie genre,no)|(Mafia,no)
2697	Thanks, you too.	(hobbies,yes)|(woodworking,yes)
12735	That's cool. Maybe you can teach me someday. But for now, I gotta go. See you later. [	(goodbye,yes)
1654	Not really. I just listen to whatever is on the radio or on Spotify. I don't have any specific preference.	(music,no)
2458	Not really, I haven't had the chance to travel much lately.	(travel,no)
10403	Not really. I just watch whatever's on.	(TV,no)
11515	Actually, I haven't watched any movies lately.	(movie,no)
6468	I don't really watch movies that often, to be honest.	(movie,no)
7281	Yeah, it's really tragic. But anyway, I have to go now. Talk to you later.	(farewell,yes)
3256	No, I haven't had the chance yet. How is it?	(restaurant,yes)|(Italian restaurant,unknown)
9389	Not really. I just listen to whatever's on the radio.	(music,no)
4495	I think she's a really strong character.	(TV,yes)|(TV character,yes)|(Detective Benson,yes)
9509	To be honest, I don't really watch movies that often.	(movies,no)
137	No, I haven't. What's it called?	(restaurant,yes)
5821	Alright, maybe I will.	(art,yes)|(art exhibit,unknown)
11773	No, I haven't had a chance to watch it yet.	(TV shows,yes)|(Stranger Things,yes)
3820	Not really, I'm a pretty boring person to be honest. I just study and watch TV.	(hobby,no)
8133	CSI and Criminal Minds.	"(TV shows,yes)|(crime shows,yes)|([""CSI"", ""Criminal Minds""], yes)"
11714	I like taking my dog out for walks.	(hobby,yes)|(pets,yes)|(dog walks,yes)
11691	I will keep that in mind. Thanks.	(TV show,unknown)
12935	Yeah, I hope so. Anyways, how was your weekend?	(weekend,yes)
189	No, not really.	(hobbies,yes)
4941	No, I'm not really into sci-fi. It's just not my thing.	(movies,no)|(sci-fi,no)
2940	Oh, that's cool. I used to play video games, but I don't have time for them anymore.	(entertainment,yes)|(video games,no)
2783	No, I don't like horror movies.	(movie,no)|(horror movies,no)
13221	It was pretty uneventful.	(daily events,no)
599	No, I haven't.	(food,yes)|(sushi,no)
47	It was great. I did a lot of work around the house.	(weekend,no)|(housework,no)
7548	I am more into romantic comedies. I know it might sound boring.	(series,yes)|(series genre,no)|(romantic comedies,no)
5457	No, I haven't. But I've always wanted to go there. What about you?	(travel,yes)|(Las Vegas,unknown)
912	Yes, I have. I love skiing, especially in the backcountry.	(outdoor activity,yes)|(skiing,yes)
5041	Yeah, you too.	(goodbye,yes)
8335	Definitely the food. It was some of the best I've ever had.	(travel,yes)|(food,yes)
451	I like to cook pasta dishes.	(food,yes)|(favorite dish,yes)|(pasta dishes,yes)
1930	Unfortunately not, I haven't been to a concert in years.	(music,no)|(concerts,no)
6174	No, I haven't.	(travel,yes)|(Australia,no)
3285	No, I haven't traveled much.	(travel,no)
6872	They're doing alright. Thanks for asking.	(family,no)
8390	No, I'm not really into that franchise.	(movies,yes)|(Star Wars,no)
1010	No, but my friend recommended it to me.	(TV show,yes)|(Netflix show,yes)
419	Yeah, I like crime dramas.	(TV show,yes)|(Genre,yes)|(crime dramas,yes)
9428	That may be true, but I still like it. Anyway, I need to go now.	(boring_topic,no)
13099	Not really, to be honest. I don't really enjoy working out.	(fitness,no)
12006	Sadly no, with the pandemic going on I haven't been able to travel much.	(travel,no)
12838	Yeah, I've been there.	(coffee shop,no)|(downtown,yes)
11107	Jamaica.	(travel,yes)|(Jamaica,yes)
2391	Anything multiplayer, really. I'm not too picky. But lately we've been playing a lot of Call of Duty. It's always a good time.	(video games,yes)|(multiplayer games,yes)|(Call of Duty,yes)
1684	No, I haven't, but I would love to go one day.	(travel,yes)|(Japan,yes)
9909	Probably the food, it was so different from anything I had ever tried before.	(food,yes)|(Japanese food,yes)
8639	Not really. I'm not into sports.	(sports,no)
7000	Well, I'm glad you enjoyed it. Hey, I have to take this call, sorry.	(phone call,no)
9221	I mostly just try to relax or do some chores. Nothing too exciting.	(free time,no)
7914	Oh, no, I'm not really into basketball.	(sports,no)|(basketball,no)
12707	Not really, I don't like spicy food.	(food,yes)|(spicy food,no)
10891	Yes, I went to this great Italian place.	(food,yes)|(Italian restaurants,yes)
8446	Oh, that sounds great! I love Italian food.	(food,yes)|(Italian cuisine,yes)
3071	No, I haven't. Is it any good?	(food,yes)|(Italian cuisine,unknown)
3707	I like to read and go hiking.	(interest,yes)|(hiking and reading,yes)
5148	I went to Hawaii with my family. The beaches were beautiful.	(travel,yes)|(Hawaii,yes)
1661	Honestly, I don't really pay much attention to the shoes. I just wear whatever's comfortable.	(fashion,no)|(shoes,no)
10052	No, I haven't been anywhere in a while.	(travel,no)
2853	Mostly sitcoms and stuff.	(TV,yes)|(sitcoms,yes)
10910	Not really. I just work a lot.	(interests,no)
8916	No, I haven't had the chance yet.	(news,unknown)
9576	Yeah, that's true. It's just hard to see that sometimes in the moment.	(small talk,yes)
11040	Not really. I've been trying to save money, so I've been cooking at home more.	(restaurant,no)
3139	Not really, I usually just stick to my usual places.	(food,no)|(restaurant exploration,no)
6772	I don't know. I've just been feeling really unmotivated lately.	(well-being,no)|(motivation,no)
1882	No, I haven't.	(park,yes)|(new park,yes)
9609	That's great to hear. Wait, do you like horror movies?	(movie,unknown)|(movie genre,yes)|(horror,no)
2387	Yeah, I can see how some people wouldn't be into it. But it's kind of like junk food for your brain, you know? Just indulging in something mindless and fun for a little bit.	(TV,no)|(reality TV,no)|(mindless TV indulgence,no)
2176	Mostly cardio and weights. Nothing too fancy.	(gym,no)|(workout,yes)
5848	It was fine, nothing special.	(food,yes)|(Italian restaurant,yes)
7238	Yeah, I've been to a few different countries. But it's been a while since my last trip.	(travel,unknown)|(past trips,unknown)
3149	I don't really have one.	(entertainment,yes)|(favorite movie,unknown)
10130	I don't really have a favorite cuisine.	(food,unknown)
3100	I like romantic comedies and dramas.	(movies,yes)|(romantic comedies,yes)
11420	I enjoy going for walks and cooking.	(hobby,yes)|(going for walks,yes)|(cooking,yes)
641	Not really, no.	(books,no)
1517	Just some boring documentaries.	(TV shows,no)|(documentaries,no)
6376	Hmm, actually, I don't really care much for weddings.	(wedding,yes)|(big wedding,no)
5019	I'm all ears. I've always wanted to visit Japan. How about you?	(travel,yes)|(Japan,yes)
12623	Actually, no. I'm not a big fan of the beach. It's too hot and sandy.	(vacation,no)|(beach,no)
8413	I guess so, but it's just so depressing. Can we talk about something else?	(current events,no)
8000	I'm more of a fan of Mexican food.	(food,yes)|(Mexican cuisine,yes)
2181	Yeah, that was pretty good. But I think there are better crime documentaries out there.	(TV shows,no)|(documentary,yes)
115	I'm reading a biography of a politician right now - it's pretty dry.	(books,no)|(biography,no)
9320	No, I haven't.	(food,yes)|(new restaurant,unknown)
10515	Sure, I highly recommend the Mistborn trilogy by Brandon Sanderson. It's a fantastic blend of magic, action, and politics.	(books,yes)|(Mistborn trilogy,yes)
4266	Not really, I don't watch movies that often.	(movies,no)
12974	Not really, I try to avoid that kind of stuff.	(conspiracy theories,no)
11697	I don't really play video games, sorry.	(video game,no)
12536	No, I don't really watch TV shows anymore.	(TV shows,no)
9570	Yes, it was nice talking to you too. See you around!	(farewell,yes)
12333	I usually watch TV or listen to music.	(entertainment,yes)
100	I don't really have a favorite. I don't watch movies that much.	(movies,no)|(favorite movies,no)
12355	Yes, I do! Italian food is great.	(food,yes)|(Italian food,yes)
7255	Sorry, not really into books.	(books,no)
6945	Yeah, it was nice talking to you too. Have a good day.	(farewell,yes)
3273	I don't really watch that show.	(TV show,no)
6644	Not really, it's not really my cup of tea.	(books,no)|(genre,no)
4000	Yeah, it was nice talking with you too!	(conversation,yes)
5820	No, I haven't had time to go yet.	(art,yes)|(art exhibit,no)
12857	No, never. I'm not really interested in live music or concerts.	(concert,no)
11227	"Actually, yes! I just finished ""The Midnight Library"" and it was really good."	(book,yes)
11238	No, I don't really read.	(book,no)
10675	No, not really. I haven't had much time for that stuff lately.	(movies & TV shows,no)
12863	Yeah, I watched a few episodes years ago, but it never really hooked me. Hey, looks like my boss is calling. I gotta take this. Talk to you later.	(work,no)
3265	Not much, just trying to stay busy with work and stuff. How about you?	(small talk,yes)
9029	They're doing fine, thanks for asking.	(family,yes)
5062	Which one?	(TV show,yes)
8682	No, I haven't. Honestly, I'm not really into action movies.	(movie,no)|(Christopher Nolan's movie,unknown)
10291	Not really, I haven't been to the movies in a while. Do you have any recommendations?	(movie,yes)|(recommendation,yes)|(unknow,unknown)
1860	Not really. I prefer staying indoors most of the time.	(activities,no)|(hiking,no)
6539	Honestly, I don't have a lot of spare time for hobbies. I work pretty much all the time.	(work,yes)
3037	It's a foreign-language film that blends genres like comedy, horror, and drama.	(movies,yes)|(movie genre,yes)
10105	Yeah, I went there last week.	(food,yes)|(sushi,yes)
1093	I'm doing well, thanks.	(greeting,yes)
5901	I recently finished watching Breaking Bad for the first time. It was amazing.	(TV show,yes)|(Breaking Bad,yes)
8402	Unfortunately, I believe it is.	(climate change,yes)|(future predictions,yes)
904	No, I haven't. But it's on my bucket list.	(travel,yes)|(Japan,yes)
2890	Yeah, I've had some great ramen before. The broth is so rich and flavorful.	(food,yes)|(ramen,yes)
1179	Not really. I prefer Asian food.	(food,yes)|(cuisine,yes)|(Asian,yes)
9823	Not really. I just find movies to be a bit of a time commitment, you know?	(movie,no)
9801	Honestly, I'm not really into games.	(video games,no)
7274	Not right now, sorry.	(miscellaneous,no)
7862	Mostly pop and hip hop.	(music,yes)
3683	No, I don't really like it.	(TV series,no)|(Game of Thrones,no)
8075	Really? I don't think so. What else do you want to talk about?	(unknow,no)
4251	Sounds good.	(outdoor activity,yes)
13293	No, I just moved here recently.	(food,yes)|(restaurants,unknown)|(Italian restaurants,unknown)
4740	It was pretty hot and humid, but we stayed near the beach, so it was nice to cool off in the water.	(vacation,yes)|(weather,yes)
36	Not really, I've mostly been working from home and trying to keep a routine.	(learning,no)
9305	No, I haven't.	(movie,no)|(director,unknown)
9775	No, I haven't. To be honest, I don't think I could give up meat.	(food,yes)|(veganism,no)
3964	Not really, I'm not a huge movie buff.	(movie,no)
78	Actually, I haven't listened to it yet.	(music,yes)|(album,no)|(The Slow Rush,no)
11211	Not really, no.	(music,yes)|(music genre,unknown)|(other genres of music,no)
5357	What's your favorite hiking spot?	(hiking,yes)|(favorite hiking spot,unknown)
7397	Not really, I just enjoy watching the games.	(sports,yes)|(basketball team,unknown)
9544	Definitely Chandler. He's hilarious.	(TV show,yes)|(favorite character,yes)|(Chandler,yes)
350	Not really. I used to be into football, but I've fallen out of it.	(sports,no)
8700	No, I haven't. What's it called?	(restaurant,yes)|(new downtown restaurant,yes)
1740	Actually, I'm not a big animal person.	(pets,no)
2369	Mostly historical fiction. I find it fascinating to learn about different times and places.	(book,yes)|(fiction genre,yes)|(historical fiction,yes)
9720	Maybe, but I have never really thought about it.	(travel,no)
8801	It's alright.	(general,yes)
13230	It was pretty uneventful. Just stayed at home and watched some movies.	(weekend,yes)|(watching movies,no)
3085	I'm a big fan of Agatha Christie. Her writing is very engaging!	(reading,yes)|(author,yes)|(Agatha Christie,yes)
12416	I like to play video games and read books.	(activity,yes)|(video game,yes)
6071	Same here. Have a nice day.	(farewell,yes)
3911	Yes, it was nice chatting with you too. Have a good day.	(farewell,yes)
2747	I haven't decided yet, but I'm definitely looking forward to soaking up the sun on the beach.	(travel,yes)|(beach activities,yes)
8895	It's just okay, but I am not interested in talking about it.	(weather,no)
11222	Yeah, maybe. Speaking of which, have you tried that new restaurant that opened up downtown?	(restaurant,yes)
12134	No, I'm not interested in sports.	(sports,no)
152	No, I have never been there. But I would love to visit the Colosseum. What about you?	(travel,yes)|(travel experience,unknown)
2405	Not really, I've been pretty busy with work lately.	(hobbies,no)|(work,no)
1493	It was ok	(mood,unknown)
1400	I don't know, maybe something more creative.	(job,yes)|(creative job,yes)
4702	Not really. I prefer staying at home and relaxing.	(travel,no)
6721	Unfortunately no, I'm allergic to cats and dogs.	(pets,yes)|(cat and dog allergies,no)
2001	Yes, I have. I'm actually not that interested in it.	(technology,yes)|(iPhone,no)
1399	Not really, but it pays the bills.	(work,no)
1848	No, I haven't even started.	(book,no)
5490	Sorry, I've been there before and didn't like it much.	(food,yes)|(restaurant,no)
6749	Hmm, I'm not sure if I would want to. It seems kind of scary.	(travel,unknown)|(hot air balloon,no)
2886	Ugh, I can't stand it. The sweetness just doesn't belong on a pizza.	(food,no)|(pineapple on pizza,no)
3233	Actually, no. I haven't been able to afford a vacation in a while.	(travel,no)
9224	Not really, I prefer to watch documentaries.	(TV shows,no)
7240	Not really, which one?	(TV show,unknown)
3564	Yeah, it was nice talking to you too.	(goodbye,unknown)
11682	Yeah, I suppose so. Do you have a garden at home?	(home activities,yes)|(owning a garden,unknown)
2645	Actually, I need to go. Thanks for chatting, though.	(farewell,yes)
12205	Yeah, I watched one that was pretty good.	(TV shows,yes)|(watching,yes)
8937	That's too bad. Have you talked to your boss about it?	(work,no)
1913	Honestly, I don't really have any hobbies. I just watch TV all day.	(hobbies,no)
5484	You're right. Let's talk about something else. Have you been to any concerts lately?	(music,unknown)|(concert,unknown)
7217	Not really, I'm not very athletic.	(sports,no)
9862	No, way too exhausting.	(outdoors,no)|(hiking,no)
10779	Sorry, I don't really watch TV either.	(TV shows,no)
8769	Not really, I'm not much of a reader.	(books,no)
2388	No, I've been trying to avoid that kind of thing. I just find it really stressful and exhausting to keep up with all the news all the time.	(politics,no)
13270	"Mostly strategy games like ""Civilization""."	(hobbies,yes)|(video game genres,yes)|(Civilization,yes)
2092	No, I haven't seen that one. Is it worth watching?	(TV show,yes)|(documentary,yes)
11550	Sounds like you had a great time. It's been a while since I hung out with my friends. Maybe I should plan something.	(social life,yes)|(hanging out with friends,yes)
4818	Not really, I've been too busy with work to go to the movies.	(movie,unknown)
3485	Not really, it's too much of a hassle.	(travel,no)|(traveling preference,no)|(dislike,no)
1807	Not really, I'm not much of a sports person.	(sports,no)
